alt_answer,alt_idx,cf_answer_sum_logprob,condition,margin,margin_shift_vs_cf_clean,margin_shift_vs_cf_qr_ablate,orig_answer_sum_logprob,source_answer,source_idx,task
14400,29989_1993.txt_employees_count_total_56,-10.115596771240234,cf_clean,-7.755781173706055,0.0,nan,-17.87137794494629,4200,277821_1993.txt_employees_count_total_156,employees_count_total
14400,29989_1993.txt_employees_count_total_56,-8.928448677062988,cf_qr_ablate,-2.272852897644043,5.482928276062012,0.0,-11.201301574707031,4200,277821_1993.txt_employees_count_total_156,employees_count_total
14400,29989_1993.txt_employees_count_total_56,-6.902832508087158,patch_qr,-2.4444966316223145,5.31128454208374,-0.17164373397827148,-9.347329139709473,4200,277821_1993.txt_employees_count_total_156,employees_count_total
14400,29989_1993.txt_employees_count_total_56,-8.715938568115234,patch_random,-2.464552879333496,5.291228294372559,-0.19169998168945312,-11.18049144744873,4200,277821_1993.txt_employees_count_total_156,employees_count_total
14400,29989_1993.txt_employees_count_total_56,-8.780241012573242,patch_bottom,-2.3499717712402344,5.40580940246582,-0.0771188735961914,-11.130212783813477,4200,277821_1993.txt_employees_count_total_156,employees_count_total
14400,29989_1993.txt_employees_count_total_56,-10.540419578552246,patch_same_layer,0.1889057159423828,7.9446868896484375,2.461758613586426,-10.351513862609863,4200,277821_1993.txt_employees_count_total_156,employees_count_total
14400,29989_1993.txt_employees_count_total_56,-8.613391876220703,cf_clean,-12.845466613769531,0.0,nan,-21.458858489990234,76200,732714_1993.txt_employees_count_total_169,employees_count_total
14400,29989_1993.txt_employees_count_total_56,-10.78922176361084,cf_qr_ablate,-3.0850677490234375,9.760398864746094,0.0,-13.874289512634277,76200,732714_1993.txt_employees_count_total_169,employees_count_total
14400,29989_1993.txt_employees_count_total_56,-8.567974090576172,patch_qr,-5.263461112976074,7.582005500793457,-2.1783933639526367,-13.831435203552246,76200,732714_1993.txt_employees_count_total_169,employees_count_total
14400,29989_1993.txt_employees_count_total_56,-10.5963716506958,patch_random,-3.8921213150024414,8.95334529876709,-0.8070535659790039,-14.488492965698242,76200,732714_1993.txt_employees_count_total_169,employees_count_total
14400,29989_1993.txt_employees_count_total_56,-10.725151062011719,patch_bottom,-3.1122684478759766,9.733198165893555,-0.027200698852539062,-13.837419509887695,76200,732714_1993.txt_employees_count_total_169,employees_count_total
14400,29989_1993.txt_employees_count_total_56,-11.005285263061523,patch_same_layer,-2.6893444061279297,10.156122207641602,0.3957233428955078,-13.694629669189453,76200,732714_1993.txt_employees_count_total_169,employees_count_total
4200,277821_1993.txt_employees_count_total_156,-4.481353282928467,cf_clean,-16.424044132232666,0.0,nan,-20.905397415161133,4151,745287_1993.txt_employees_count_total_38,employees_count_total
4200,277821_1993.txt_employees_count_total_156,-8.513529777526855,cf_qr_ablate,-3.970240592956543,12.453803539276123,0.0,-12.483770370483398,4151,745287_1993.txt_employees_count_total_38,employees_count_total
4200,277821_1993.txt_employees_count_total_156,-8.121438026428223,patch_qr,-4.349236488342285,12.07480764389038,-0.3789958953857422,-12.470674514770508,4151,745287_1993.txt_employees_count_total_38,employees_count_total
4200,277821_1993.txt_employees_count_total_156,-8.485666275024414,patch_random,-4.307041168212891,12.117002964019775,-0.33680057525634766,-12.792707443237305,4151,745287_1993.txt_employees_count_total_38,employees_count_total
4200,277821_1993.txt_employees_count_total_156,-8.438787460327148,patch_bottom,-3.994039535522461,12.430004596710205,-0.02379894256591797,-12.43282699584961,4151,745287_1993.txt_employees_count_total_38,employees_count_total
4200,277821_1993.txt_employees_count_total_156,-8.159460067749023,patch_same_layer,-3.917361259460449,12.506682872772217,0.05287933349609375,-12.076821327209473,4151,745287_1993.txt_employees_count_total_38,employees_count_total
14400,29989_1993.txt_employees_count_total_56,-9.584015846252441,cf_clean,-12.023642539978027,0.0,nan,-21.60765838623047,11500,36326_1993.txt_employees_count_total_141,employees_count_total
14400,29989_1993.txt_employees_count_total_56,-7.837561130523682,cf_qr_ablate,-2.675346851348877,9.34829568862915,0.0,-10.512907981872559,11500,36326_1993.txt_employees_count_total_141,employees_count_total
14400,29989_1993.txt_employees_count_total_56,-6.317746162414551,patch_qr,-4.578312873840332,7.445329666137695,-1.902966022491455,-10.896059036254883,11500,36326_1993.txt_employees_count_total_141,employees_count_total
14400,29989_1993.txt_employees_count_total_56,-7.594637870788574,patch_random,-3.062624931335449,8.961017608642578,-0.38727807998657227,-10.657262802124023,11500,36326_1993.txt_employees_count_total_141,employees_count_total
14400,29989_1993.txt_employees_count_total_56,-7.841994762420654,patch_bottom,-2.607085704803467,9.41655683517456,0.06826114654541016,-10.449080467224121,11500,36326_1993.txt_employees_count_total_141,employees_count_total
14400,29989_1993.txt_employees_count_total_56,-8.904898643493652,patch_same_layer,-1.7114648818969727,10.312177658081055,0.9638819694519043,-10.616363525390625,11500,36326_1993.txt_employees_count_total_141,employees_count_total
3712,103392_1993.txt_employees_count_total_176,-8.443562507629395,cf_clean,-9.154685020446777,0.0,nan,-17.598247528076172,35000,104669_1993.txt_employees_count_total_83,employees_count_total
3712,103392_1993.txt_employees_count_total_176,-9.54955768585205,cf_qr_ablate,-0.35384559631347656,8.8008394241333,0.0,-9.903403282165527,35000,104669_1993.txt_employees_count_total_83,employees_count_total
3712,103392_1993.txt_employees_count_total_176,-8.869490623474121,patch_qr,-0.08294391632080078,9.071741104125977,0.2709016799926758,-8.952434539794922,35000,104669_1993.txt_employees_count_total_83,employees_count_total
3712,103392_1993.txt_employees_count_total_176,-9.489262580871582,patch_random,-0.5165634155273438,8.638121604919434,-0.1627178192138672,-10.005825996398926,35000,104669_1993.txt_employees_count_total_83,employees_count_total
