ablated_mean_logprob,ablated_sum_logprob,clean_mean_logprob,clean_sum_logprob,condition,gold,idx,mean_logprob_rescue,num_answer_tokens,patched_mean_logprob,patched_sum_logprob,sum_logprob_rescue,task
-8.144489288330078,-16.288978576660156,-1.6808238797239028e-05,-3.3616477594478056e-05,patch_qr,Goodes,104669_1993.txt_ceo_lastname_84,0.7871484706142271,2,-1.733580231666565,-3.46716046333313,0.7871484706142271,ceo_lastname
-8.144489288330078,-16.288978576660156,-1.6808238797239028e-05,-3.3616477594478056e-05,patch_random,Goodes,104669_1993.txt_ceo_lastname_84,0.004691163759418263,2,-8.106282234191895,-16.21256446838379,0.004691163759418263,ceo_lastname
-8.144489288330078,-16.288978576660156,-1.6808238797239028e-05,-3.3616477594478056e-05,patch_bottom,Goodes,104669_1993.txt_ceo_lastname_84,-0.09357655671892726,2,-8.906620979309082,-17.813241958618164,-0.09357655671892726,ceo_lastname
-8.144489288330078,-16.288978576660156,-1.6808238797239028e-05,-3.3616477594478056e-05,patch_same_layer,Goodes,104669_1993.txt_ceo_lastname_84,-0.08222785840878927,2,-8.814191818237305,-17.62838363647461,-0.08222785840878927,ceo_lastname
-1.9814828634262085,-3.962965726852417,-3.29007234540768e-05,-6.58014469081536e-05,patch_qr,Powell,716006_1993.txt_ceo_lastname_119,0.9996613829630908,2,-0.0007038534386083484,-0.0014077068772166967,0.9996613829630908,ceo_lastname
-1.9814828634262085,-3.962965726852417,-3.29007234540768e-05,-6.58014469081536e-05,patch_random,Powell,716006_1993.txt_ceo_lastname_119,0.6614842352022008,2,-0.6707849502563477,-1.3415699005126953,0.6614842352022008,ceo_lastname
-1.9814828634262085,-3.962965726852417,-3.29007234540768e-05,-6.58014469081536e-05,patch_bottom,Powell,716006_1993.txt_ceo_lastname_119,0.018737357936357165,2,-1.9443557262420654,-3.888711452484131,0.018737357936357165,ceo_lastname
-1.9814828634262085,-3.962965726852417,-3.29007234540768e-05,-6.58014469081536e-05,patch_same_layer,Powell,716006_1993.txt_ceo_lastname_119,0.20793464784633284,2,-1.569470763206482,-3.138941526412964,0.20793464784633284,ceo_lastname
-2.9574086666107178,-5.9148173332214355,-0.00029413102311082184,-0.0005882620462216437,patch_qr,Bogle,801124_1993.txt_ceo_lastname_134,-0.004164141302355954,2,-2.9697225093841553,-5.9394450187683105,-0.004164141302355954,ceo_lastname
-2.9574086666107178,-5.9148173332214355,-0.00029413102311082184,-0.0005882620462216437,patch_random,Bogle,801124_1993.txt_ceo_lastname_134,0.050333396863845484,2,-2.8085670471191406,-5.617134094238281,0.050333396863845484,ceo_lastname
