ablated_mean_logprob,ablated_sum_logprob,clean_mean_logprob,clean_sum_logprob,condition,gold,idx,mean_logprob_rescue,num_answer_tokens,patched_mean_logprob,patched_sum_logprob,sum_logprob_rescue,task
-1.0402021408081055,-3.1206061840057373,-0.31206074357032776,-0.9361822009086609,patch_qr,Gressette,754737_1993.txt_ceo_lastname_200,1.2213362346208643,3,-0.15089666843414307,-0.4526900053024292,1.2213362421157528,ceo_lastname
-1.0402021408081055,-3.1206061840057373,-0.31206074357032776,-0.9361822009086609,patch_bottom,Gressette,754737_1993.txt_ceo_lastname_200,0.029231055798882556,3,-1.0189177989959717,-3.056753158569336,0.029231058590498786,ceo_lastname
-1.0402021408081055,-3.1206061840057373,-0.31206074357032776,-0.9361822009086609,patch_same_layer,Gressette,754737_1993.txt_ceo_lastname_200,0.08876436920510089,3,-0.9755691289901733,-2.9267072677612305,0.08876432310983738,ceo_lastname
-1.0402021408081055,-3.1206061840057373,-0.31206074357032776,-0.9361822009086609,patch_random_00,Gressette,754737_1993.txt_ceo_lastname_200,0.02610503908932948,3,-1.0211939811706543,-3.063581943511963,0.026104932437578096,ceo_lastname
-1.0402021408081055,-3.1206061840057373,-0.31206074357032776,-0.9361822009086609,patch_random_01,Gressette,754737_1993.txt_ceo_lastname_200,0.011688100184791725,3,-1.031691551208496,-3.0950746536254883,0.011687992156197818,ceo_lastname
-1.0402021408081055,-3.1206061840057373,-0.31206074357032776,-0.9361822009086609,patch_random_02,Gressette,754737_1993.txt_ceo_lastname_200,-0.29380153076424714,3,-1.2541311979293823,-3.7623934745788574,-0.2938016133952137,ceo_lastname
-1.0402021408081055,-3.1206061840057373,-0.31206074357032776,-0.9361822009086609,patch_random_03,Gressette,754737_1993.txt_ceo_lastname_200,0.1485149353699647,3,-0.9320622682571411,-2.796186685562134,0.14851489498098328,ceo_lastname
-1.0402021408081055,-3.1206061840057373,-0.31206074357032776,-0.9361822009086609,patch_random_04,Gressette,754737_1993.txt_ceo_lastname_200,-0.17625763786903859,3,-1.1685426235198975,-3.5056278705596924,-0.17625776384677452,ceo_lastname
-1.0402021408081055,-3.1206061840057373,-0.31206074357032776,-0.9361822009086609,patch_random_05,Gressette,754737_1993.txt_ceo_lastname_200,-0.022900601828614996,3,-1.0568770170211792,-3.170630931854248,-0.02290065858807577,ceo_lastname
-1.0402021408081055,-3.1206061840057373,-0.31206074357032776,-0.9361822009086609,patch_random_06,Gressette,754737_1993.txt_ceo_lastname_200,0.5107730232157984,3,-0.6682871580123901,-2.004861354827881,0.510773017423089,ceo_lastname
-1.0402021408081055,-3.1206061840057373,-0.31206074357032776,-0.9361822009086609,patch_random_07,Gressette,754737_1993.txt_ceo_lastname_200,0.32531701487342346,3,-0.803325355052948,-2.409976005554199,0.32531696408313854,ceo_lastname
-1.0402021408081055,-3.1206061840057373,-0.31206074357032776,-0.9361822009086609,patch_random_08,Gressette,754737_1993.txt_ceo_lastname_200,0.15724859449784878,3,-0.9257029294967651,-2.777108669281006,0.15724855494294687,ceo_lastname
-1.0402021408081055,-3.1206061840057373,-0.31206074357032776,-0.9361822009086609,patch_random_09,Gressette,754737_1993.txt_ceo_lastname_200,0.2519960097200554,3,-0.8567134141921997,-2.5701401233673096,0.251995979213695,ceo_lastname
-1.0402021408081055,-3.1206061840057373,-0.31206074357032776,-0.9361822009086609,patch_random_10,Gressette,754737_1993.txt_ceo_lastname_200,-0.007012336215752454,3,-1.0453081130981445,-3.1359243392944336,-0.007012446030270281,ceo_lastname
-1.0402021408081055,-3.1206061840057373,-0.31206074357032776,-0.9361822009086609,patch_random_11,Gressette,754737_1993.txt_ceo_lastname_200,0.002010283815680435,3,-1.0387383699417114,-3.1162149906158447,0.002010229435252191,ceo_lastname
-1.0402021408081055,-3.1206061840057373,-0.31206074357032776,-0.9361822009086609,patch_random_12,Gressette,754737_1993.txt_ceo_lastname_200,0.0005057225105168877,3,-1.039833903312683,-3.1195015907287598,0.0005056679864004454,ceo_lastname
