alt_answer,alt_idx,cf_answer_sum_logprob,condition,margin,margin_shift_vs_cf_clean,margin_shift_vs_cf_qr_ablate,orig_answer_sum_logprob,source_answer,source_idx,task
14400,29989_1993.txt_employees_count_total_56,-10.320234298706055,cf_clean,-11.755056381225586,0.0,nan,-22.07529067993164,35000,104669_1993.txt_employees_count_total_83,employees_count_total
14400,29989_1993.txt_employees_count_total_56,-9.735851287841797,cf_qr_ablate,-0.08620643615722656,11.66884994506836,0.0,-9.822057723999023,35000,104669_1993.txt_employees_count_total_83,employees_count_total
14400,29989_1993.txt_employees_count_total_56,-5.372414588928223,patch_qr,-4.220049858093262,7.535006523132324,-4.133843421936035,-9.592464447021484,35000,104669_1993.txt_employees_count_total_83,employees_count_total
14400,29989_1993.txt_employees_count_total_56,-9.715250015258789,patch_random,-0.027904510498046875,11.727151870727539,0.05830192565917969,-9.743154525756836,35000,104669_1993.txt_employees_count_total_83,employees_count_total
14400,29989_1993.txt_employees_count_total_56,-9.733672142028809,patch_bottom,-0.08995342254638672,11.6651029586792,-0.0037469863891601562,-9.823625564575195,35000,104669_1993.txt_employees_count_total_83,employees_count_total
14400,29989_1993.txt_employees_count_total_56,-10.30594253540039,patch_same_layer,-0.2101154327392578,11.544940948486328,-0.12390899658203125,-10.516057968139648,35000,104669_1993.txt_employees_count_total_83,employees_count_total
1741,71180_1993.txt_employees_count_total_214,-7.7409186363220215,cf_clean,-8.009349346160889,0.0,nan,-15.75026798248291,3712,103392_1993.txt_employees_count_total_176,employees_count_total
1741,71180_1993.txt_employees_count_total_214,-8.695657730102539,cf_qr_ablate,-3.9020633697509766,4.107285976409912,0.0,-12.597721099853516,3712,103392_1993.txt_employees_count_total_176,employees_count_total
1741,71180_1993.txt_employees_count_total_214,-5.385364055633545,patch_qr,-6.629528522491455,1.3798208236694336,-2.7274651527404785,-12.014892578125,3712,103392_1993.txt_employees_count_total_176,employees_count_total
1741,71180_1993.txt_employees_count_total_214,-8.68417739868164,patch_random,-3.9162254333496094,4.093123912811279,-0.014162063598632812,-12.60040283203125,3712,103392_1993.txt_employees_count_total_176,employees_count_total
1741,71180_1993.txt_employees_count_total_214,-8.684429168701172,patch_bottom,-3.9041881561279297,4.105161190032959,-0.002124786376953125,-12.588617324829102,3712,103392_1993.txt_employees_count_total_176,employees_count_total
1741,71180_1993.txt_employees_count_total_214,-9.11030387878418,patch_same_layer,-3.990377426147461,4.018971920013428,-0.08831405639648438,-13.10068130493164,3712,103392_1993.txt_employees_count_total_176,employees_count_total
35000,104669_1993.txt_employees_count_total_83,-8.153118133544922,cf_clean,-12.792797088623047,0.0,nan,-20.94591522216797,2260,55387_1993.txt_employees_count_total_10,employees_count_total
35000,104669_1993.txt_employees_count_total_83,-9.856378555297852,cf_qr_ablate,-1.711695671081543,11.081101417541504,0.0,-11.568074226379395,2260,55387_1993.txt_employees_count_total_10,employees_count_total
35000,104669_1993.txt_employees_count_total_83,-4.816242694854736,patch_qr,-8.002856731414795,4.789940357208252,-6.291161060333252,-12.819099426269531,2260,55387_1993.txt_employees_count_total_10,employees_count_total
35000,104669_1993.txt_employees_count_total_83,-9.960185050964355,patch_random,-1.711024284362793,11.081772804260254,0.00067138671875,-11.671209335327148,2260,55387_1993.txt_employees_count_total_10,employees_count_total
35000,104669_1993.txt_employees_count_total_83,-9.847221374511719,patch_bottom,-1.7156896591186523,11.077107429504395,-0.003993988037109375,-11.562911033630371,2260,55387_1993.txt_employees_count_total_10,employees_count_total
35000,104669_1993.txt_employees_count_total_83,-10.739265441894531,patch_same_layer,-1.3248462677001953,11.467950820922852,0.38684940338134766,-12.064111709594727,2260,55387_1993.txt_employees_count_total_10,employees_count_total
29900,812427_1993.txt_employees_count_total_248,-11.844860076904297,cf_clean,-19.762582778930664,0.0,nan,-31.60744285583496,4151,745287_1993.txt_employees_count_total_38,employees_count_total
29900,812427_1993.txt_employees_count_total_248,-8.830296516418457,cf_qr_ablate,-3.977168083190918,15.785414695739746,0.0,-12.807464599609375,4151,745287_1993.txt_employees_count_total_38,employees_count_total
29900,812427_1993.txt_employees_count_total_248,-7.704645156860352,patch_qr,-11.997154235839844,7.76542854309082,-8.019986152648926,-19.701799392700195,4151,745287_1993.txt_employees_count_total_38,employees_count_total
29900,812427_1993.txt_employees_count_total_248,-8.714430809020996,patch_random,-4.100076675415039,15.662506103515625,-0.1229085922241211,-12.814507484436035,4151,745287_1993.txt_employees_count_total_38,employees_count_total
29900,812427_1993.txt_employees_count_total_248,-8.844339370727539,patch_bottom,-3.9631175994873047,15.79946517944336,0.014050483703613281,-12.807456970214844,4151,745287_1993.txt_employees_count_total_38,employees_count_total
