clean_margin,condition,corrupted_margin,head,idx,layer,margin_denom,margin_recovery,node_count,node_id,node_type,nodes,pair_idx,patched_margin,position_group,task
16.960472504375502,mlp:31,13.789395076688379,,714655_1993.txt_ceo_lastname_185,31,3.1710774276871234,0.309412829334901,1,mlp:31,mlp,['mlp:31'],0,14.770567115629092,answer,ceo_lastname
16.960472504375502,mlp:30,13.789395076688379,,714655_1993.txt_ceo_lastname_185,30,3.1710774276871234,0.1751642314016074,1,mlp:30,mlp,['mlp:30'],0,14.34485441702418,answer,ceo_lastname
16.960472504375502,attn:24-27,13.789395076688379,27,714655_1993.txt_ceo_lastname_185,24,3.1710774276871234,-0.0024648296561319014,1,attn:24-27,attn,['attn:24-27'],0,13.781578911002725,answer,ceo_lastname
16.960472504375502,attn:30-27,13.789395076688379,27,714655_1993.txt_ceo_lastname_185,30,3.1710774276871234,0.03449412683053865,1,attn:30-27,attn,['attn:30-27'],0,13.898778623668477,answer,ceo_lastname
16.960472504375502,mlp:28,13.789395076688379,,714655_1993.txt_ceo_lastname_185,28,3.1710774276871234,0.03195765537071127,1,mlp:28,mlp,['mlp:28'],0,13.890735276276246,answer,ceo_lastname
16.960472504375502,attn:30-26,13.789395076688379,26,714655_1993.txt_ceo_lastname_185,30,3.1710774276871234,0.05419987595892389,1,attn:30-26,attn,['attn:30-26'],0,13.961267079925165,answer,ceo_lastname
16.960472504375502,attn:27-20,13.789395076688379,20,714655_1993.txt_ceo_lastname_185,27,3.1710774276871234,-0.01727946055671497,1,attn:27-20,attn,['attn:27-20'],0,13.73460056935437,answer,ceo_lastname
16.960472504375502,attn:29-11,13.789395076688379,11,714655_1993.txt_ceo_lastname_185,29,3.1710774276871234,0.04680941579478771,1,attn:29-11,attn,['attn:29-11'],0,13.937831358518451,answer,ceo_lastname
16.960472504375502,attn:30-14,13.789395076688379,14,714655_1993.txt_ceo_lastname_185,30,3.1710774276871234,0.017243440604579323,1,attn:30-14,attn,['attn:30-14'],0,13.844075361965224,answer,ceo_lastname
16.960472504375502,attn:27-5,13.789395076688379,5,714655_1993.txt_ceo_lastname_185,27,3.1710774276871234,0.019748377461971448,1,attn:27-5,attn,['attn:27-5'],0,13.852018710691482,answer,ceo_lastname
16.960472504375502,attn:31-1,13.789395076688379,1,714655_1993.txt_ceo_lastname_185,31,3.1710774276871234,0.004934485932985277,1,attn:31-1,attn,['attn:31-1'],0,13.805042713647708,answer,ceo_lastname
16.960472504375502,attn:26-3,13.789395076688379,3,714655_1993.txt_ceo_lastname_185,26,3.1710774276871234,0.00985836228738266,1,attn:26-3,attn,['attn:26-3'],0,13.82065670681186,answer,ceo_lastname
16.960472504375502,mlp:31,13.789395076688379,,714655_1993.txt_ceo_lastname_185,31,3.1710774276871234,0.0,1,mlp:31,mlp,['mlp:31'],0,13.789395076688379,query,ceo_lastname
16.960472504375502,mlp:30,13.789395076688379,,714655_1993.txt_ceo_lastname_185,30,3.1710774276871234,7.496508445206458e-08,1,mlp:30,mlp,['mlp:30'],0,13.789395314408466,query,ceo_lastname
